"song","artist","genre","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature","popularity"
"Repent Walpurgis - 2009 Remaster Mono","Procol Harum","Progressive Rock",0.345,0.655,0,0.8714,0,0.0352,0.289,0.793,0.0641,0.37,0.137743,1,0
"Red","King Crimson","Progressive Rock",0.314,0.696,0.818181818181818,0.834216666666667,1,0.0294,0.00336,0.875,0.211,0.125,0.087981,1,0.12
"Ornament/The Last Wrongs","Oceansize","Progressive Rock",0.175,0.311,0.454545454545455,0.805583333333333,1,0.033,0.00851,0.712,0.241,0.0908,0.089153,0,0
"Evil Woman","Spooky Tooth","Progressive Rock",0.379,0.687,0,0.820366666666667,1,0.0645,0.16,0.00622,0.323,0.525,0.141878,1,0
"Första vandringen","Bo Hansson","Progressive Rock",0.371,0.284,0.363636363636364,0.790233333333333,0,0.0353,0.348,0.56,0.346,0.318,0.12047,1,0
"Tarkus","Emerson, Lake & Palmer","Progressive Rock",0.463,0.541,0.454545454545455,0.796166666666667,1,0.047,0.0312,0.0844,0.136,0.509,0.11123,1,0
"Future Days","CAN","Progressive Rock",0.705,0.663,0.636363636363636,0.703166666666667,0,0.0795,0.242,0.92,0.101,0.61,0.148738,1,0
"Sole Survivor","Asia","Progressive Rock",0.42,0.941,0.181818181818182,0.8809,0,0.0766,0.0991,4.04e-06,0.0237,0.405,0.124341,1,0
"Ashes Are Burning","Renaissance","Progressive Rock",0.305,0.381,0.363636363636364,0.76395,0,0.0331,0.0567,0.0212,0.0972,0.101,0.115888,1,0.33
"A Favor House Atlantic","Coheed and Cambria","Progressive Rock",0.294,0.97,0.363636363636364,0.917633333333333,1,0.265,0.000706,0,0.123,0.144,0.166475,1,0.56
"Night On Bald Mountain","Fireballet","Progressive Rock",0.401,0.535,0.818181818181818,0.809966666666667,0,0.0457,0.0315,0.365,0.622,0.151,0.09823,1,0.18
"Mass-Media Stars","Acqua Fragile","Progressive Rock",0.385,0.94,1,0.936133333333333,0,0.0725,0.475,0.00651,0.102,0.798,0.161022,0,0.19
"Autumn: Heroine's Theme/Deep Summer's Sleep/The Winter Long","Strawbs","Progressive Rock",0.325,0.414,0.818181818181818,0.823616666666667,1,0.0281,0.315,0.414,0.196,0.267,0.11115,1,0
"Tubular Bells - Pt. I","Mike Oldfield","Progressive Rock",0.374,0.22,0.818181818181818,0.6824,0,0.0357,0.565,0.56,0.111,0.0571,0.103539,1,0
"The Holy Drinker","Steven Wilson","Progressive Rock",0.378,0.547,0.363636363636364,0.8189,1,0.0362,0.00354,0.153,0.122,0.103,0.106752,1,0.35
"Freefall","Camel","Progressive Rock",0.373,0.661,0.454545454545455,0.81145,1,0.0474,0.00158,0.717,0.321,0.43,0.130449,1,0.4
"Hold Out Your Hand","Chris Squire","Progressive Rock",0.441,0.645,0.0909090909090909,0.844783333333333,1,0.0386,0.624,0.00603,0.167,0.591,0.090044,1,0
"Peaches En Regalia","Frank Zappa","Progressive Rock",0.389,0.688,1,0.8064,0,0.029,0.259,0.833,0.0848,0.766,0.101856,1,0.01
"The Meeting","Jon Anderson & Rick Wakeman","Progressive Rock",0.368,0.281,1,0.70555,1,0.0914,0.971,0.000714,0.868,0.406,0.080714,0,0
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846","Johann Sebastian Bach","Classical",0.221,0.126,0,0.576216666666667,1,0.0447,0.989,0.897,0.102,0.216,0.13363,1,0.62
"The Lark Ascending","Ralph Vaughan Williams","Classical",0.0811,0.0122,0.363636363636364,0.455766666666667,0,0.0511,0.902,0.308,0.0648,0.0384,0.074554,1,0.62
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande","George Frideric Handel","Classical",0.204,0.0331,0.181818181818182,0.599266666666667,0,0.0487,0.927,0.825,0.0954,0.0547,0.1162,0,0.65
"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59","Ludwig van Beethoven","Classical",0.23,0.0487,0.454545454545455,0.53875,1,0.0412,0.986,0.945,0.0679,0.101,0.134839,2,0.61
"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile","Sergei Rachmaninoff","Classical",0.205,0.0525,0.0909090909090909,0.60265,1,0.0327,0.98,0.906,0.103,0.0511,0.088316,1,0.57
"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato","Edward Elgar","Classical",0.148,0.0722,0.363636363636364,0.579716666666667,0,0.0427,0.944,0.148,0.115,0.0467,0.087882,1,0.57
"Rhapsody In Blue","George Gershwin","Classical",0.309,0.258,0.818181818181818,0.74455,1,0.0459,0.976,0.69,0.0924,0.115,0.074568,1,0.53
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Johann Sebastian Bach","Classical",0.275,0.157,0.636363636363636,0.687466666666667,1,0.0636,0.89,0.842,0.186,0.304,0.073289,1,0.68
"Meditation: Méditation from Thaïs","Jules Massenet","Classical",0.205,0.0686,0.363636363636364,0.60975,0,0.0462,0.873,0.402,0.0909,0.0359,0.090779,-2,0
"Gnossienne No. 1","Erik Satie","Classical",0.376,0.00579,0.454545454545455,0.473083333333333,0,0.0576,0.996,0.944,0.0882,0.0369,0.071827,1,0.58
"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato","Edvard Grieg","Classical",0.303,0.119,0.818181818181818,0.699083333333333,0,0.0386,0.975,0.88,0.112,0.038,0.094868,1,0.56
